행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명)
충청북도,1596886,811289,785597
충청남도,2121082,1085209,1035873
제주특별자치도,679016,340105,338911
전라북도,1775664,883436,892228
전라남도,1824104,918260,905844
전국,51558441,25699579,25858862
인천광역시,2963117,1483370,1479747
울산광역시,1113458,571867,541591
세종특별자치시,381439,190276,191163
서울특별시,9488454,4601295,4887159
부산광역시,3331444,1627821,1703623
대전광역시,1448240,722486,725754
대구광역시,2371936,1167564,1204372
광주광역시,1434397,709090,725307
경상북도,2609356,1315815,1293541
경상남도,3290991,1656746,1634245
경기도,13590056,6840757,6749299
강원도,1538801,774193,764608
